Acquisition Name,Type,Case Number,Acquirer(s),Target(s) / Vendor(s),M&A Sector,Other Parties,Notification / Application Date,Stage,Acquisition Status,End of Determination Period,Determination Period Calendar Days (ACT),Determination Period Business Days (ACT),Elapsed Calendar Days to Decision,Elapsed Business Days to Decision (ACT),ACCC Determination,Determination Publication Date,ANZSIC Code(s),URL,Decisions and Key Events,Consultation Text,Questionnaire,Consultation Documents,ACCC Page Last Modified,Last Scraped (UTC)
Complete Air Supply - All Air,Notification,MN-15018,COMPLETE AIR SUPPLY PTY LTD; 27 050 611 473,ALL AIR DUCT AND FITTINGS PTY LTD; 63 131 353 298,Manufacturing; Wholesale Trade,AIRCONDITIONING DIRECT PTY. LTD.; 48 100 354 461; Quality Air Equipment (W.A) Pty Ltd; 66 145 765 680; TURNER ENGINEERING W.A. PTY LTD; 43 009 381 373; HVAC CONSOLIDATED PTY LTD; 26 162 828 971; Australian Airconditioning Distributors Pty Ltd; 43 139 947 363; BEIJER REF AUSTRALIA PTY LTD; 62 133 913 283; QUALITY AIR EQUIPMENT PTY LTD; 42 095 082 689; KIRBY HVAC&R PTY LTD; 42 624 910 041,2026-06-16,Phase 1 - initial assessment,Assessment completed,2026-07-28,42.0,31.0,23,18,Approved,2026-07-09,"2452 Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing; 3494 Other Electrical and Electronic Goods Wholesaling; 3499 Other Machinery and Equipment Wholesaling n.e.c.",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/complete-air-supply-all-air,9 Jul 2026: Complete Air Supply - All Air - Phase 1 determination,,,,2026-07-09T16:44:29+10:00,2026-08-11T01:56:49.469233Z
SAS Trustee Corporation – Australia Pacific Airport Corporation,Waiver,WA-90023,SAS Trustee Corporation; 29 239 066 746,Australia Pacific Airports Corporation Limited; 89 069 775 266,Aviation; Superannuation,Australia Pacific Airports (Melbourne) Pty Limited; 62 076 999 114; New South Wales Treasury Corporation; 99 095 235 825; Australia Pacific Airports (Launceston) Pty Limited; 79 081 578 903,2026-06-16,Waiver application,Assessment completed,,,,22,17,Approved,2026-07-08,4900 Air and Space Transport; 6330 Superannuation Funds,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/sas-trustee-corporation-%E2%80%93-australia-pacific-airport-corporation,8 Jul 2026: Notification waiver determination published,,,,2026-07-08T16:40:56+10:00,2026-08-11T01:56:49.469233Z
Calvary - Hobart Private Hospital,Notification,MN-40013,LITTLE COMPANY OF MARY HEALTH CARE LIMITED; 11 079 815 697,HEALTHSCOPE MANAGEMENT PTY LTD; 80 146 342 814; HEALTHSCOPE NEWCO PTY LTD; 80 092 450 274; HEALTHSCOPE OPERATIONS PTY LTD; 85 006 405 152; ANZ HOSPITALS PTY LTD; 14 631 014 938,Hospitals,Jason Ireland (as joint and several receivers); Keith Crawford (as joint and several receivers); Matthew Caddy (as joint and several receivers); Kathy Sozou (as joint and several receivers),2026-06-16,Phase 1 - initial assessment,Under assessment,2026-09-08,84.0,61.0,,,,,8401 Hospitals (Except Psychiatric Hospitals),https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/calvary-hobart-private-hospital,16 Jul 2026: Timeline extended by 30 business days – following request by parties,The period for providing submissions or information in response to the ACCC’s Phase 1 questionnaire has concluded.,Y,,2026-07-16T17:15:05+10:00,2026-08-11T01:56:49.469233Z
Transocean - Valaris,Notification,MN-25019,Transocean Limited; IRS Employer Identification Number - 98-0599916,Valaris Limited; Bermuda number - 56245,Mining,,2026-06-16,Phase 1 - initial assessment,Assessment completed,2026-07-28,42.0,31.0,,,Approved,,1090 Other Mining Support Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/transocean-valaris,27 Jul 2026: Transocean - Valaris - Phase 1 determination,,,,2026-07-27T09:59:26+10:00,2026-08-11T01:56:49.469233Z
CSR - Complete Plaster,Notification,MN-10018,CSR BUILDING PRODUCTS LIMITED; 55 008 631 356,COMPLETE PLASTER & REO PTY LTD; 48 164 427 114,Manufacturing; Wholesale Trade; Retail Trade,,2026-06-15,Phase 1 - initial assessment,Assessment completed,2026-07-27,42.0,31.0,22,17,Approved,2026-07-07,2031 Cement and Lime Manufacturing; 2032 Plaster Product Manufacturing; 2090 Other Non-Metallic Mineral Product Manufacturing; 3339 Other Hardware Goods Wholesaling; 4231 Hardware and Building Supplies Retailing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/csr-complete-plaster,7 Jul 2026: CSR - Complete Plaster - Phase 1 determination,,,,2026-07-07T16:25:19+10:00,2026-08-11T01:56:49.469233Z
River Capital – YOMG,Waiver,WA-25032,RC BITE BID CO PTY LTD; 698 175 012; RIVER CAPITAL PTY LTD; 64 073 531 469,Yo My Goodness Pty Ltd as trustee for The Yo My Goodness IP Unit Trust; 603 490 035; YOMG PTY LTD; 93 603 489 943; YOMG IP Pty Ltd; YOMG OPCO PTY LTD; 74 698 532 866,Food and Beverage Manufacturing; Accommodation and Hospitality; Financial Advisory and Broking,THE YO MY COMPANY PTY LTD; 55 603 052 286,2026-06-15,Waiver application,Assessment completed,,,,7,6,Approved,2026-06-22,1174 Bakery Product Manufacturing (Non-factory based); 4512 Takeaway Food Services; 6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/river-capital-%E2%80%93-yomg,22 Jun 2026: Notification waiver determination published,,,,2026-06-22T20:41:38+10:00,2026-08-11T01:56:49.469233Z
Oakley Capital – XTEL,Waiver,WA-01108,Oakley Eloa Luxco S.à r.l.; Luxembourg registered number - B304186,Bond Lux Co-Invest S.à r.l.; Luxembourg registered number - B268815,Technology and Software; Asset Management and Investment,Oakley Capital Limited; Oakley Capital Manager S.a r.l,2026-06-12,Waiver application,Assessment completed,,,,18,13,Approved,2026-06-30,5420 Software Publishing; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/oakley-capital-%E2%80%93-xtel,30 Jun 2026: Notification waiver determination published,,,,2026-06-30T16:44:25+10:00,2026-08-11T01:56:49.469233Z
WHP Global and G-III - Marc Jacobs,Waiver,WA-95027,"Majestic AcqCo, LLC; 10605240","Marc Jacobs Holdings, LLC; 5406274; LVMH MJ Holdings Inc.; 5406277",Manufacturing; Retail Trade; Property and Real Estate; Professional Services,"Marc Jacobs International, LLC; 2684319; G-III Apparel Group, Ltd.; 0000821002; MJWHP, LLC; 10605230; MJ TopCo, LLC; 10605232; LVMH Moet Hennessy Louis Vuitton SE; 775670417",2026-06-12,Waiver application,Assessment completed,,,,31,22,Approved,2026-07-13,1852 Cosmetic and Toiletry Preparation Manufacturing; 4251 Clothing Retailing; 6640 Non-Financial Intangible Assets (Except Copyrights) Leasing; 6924 Other Specialised Design Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/whp-global-and-g-iii-marc-jacobs,13 Jul 2026: Notification waiver determination published,,,,2026-07-13T17:42:00+10:00,2026-08-11T01:56:49.469233Z
Google Australia – indefeasible rights to use terrestrial dark fibre from Telstra,Waiver,WA-95026,GOOGLE AUSTRALIA PTY LTD; 33 102 417 032; Google Singapore Pte. Ltd.; Singapore registration No. 200605367W,Telstra Singapore Pte. Ltd.; Singapore registration No. 200209830G; TELSTRA CORPORATION LIMITED; 33 051 775 556,Telecommunications,Google LLC; FEIN 77-0493581,2026-06-12,Waiver application,Assessment completed,,,,31,22,Approved,2026-07-13,5801 Wired Telecommunications Network Operation; 5802 Other Telecommunications Network Operation; 5809 Other Telecommunications Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/google-australia-%E2%80%93-indefeasible-rights-to-use-terrestrial-dark-fibre-from-telstra,13 Jul 2026: Notification waiver determination,,,,2026-07-13T17:40:04+10:00,2026-08-11T01:56:49.469233Z
"Telstra – indefeasible rights over dark fibre on Tabua, Proa and Bulikula subsea cables",Waiver,WA-40030,TELSTRA AUSTRALIA NETWORKS PTY LIMITED; 58 100 816 206; TELSTRA INTERNATIONAL NETWORKS PTY LIMITED; 56 142 220 157,Manta Ray Solutions LLC; PERCH INFRASTRUCTURE PTY LTD; 24 672 742 166; Google LLC,Telecommunications,,2026-06-12,Waiver application,Assessment completed,,,,31,22,Approved,2026-07-13,5801 Wired Telecommunications Network Operation; 5802 Other Telecommunications Network Operation; 5809 Other Telecommunications Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/telstra-%E2%80%93-indefeasible-rights-over-dark-fibre-on-tabua-proa-and-bulikula-subsea-cables,13 Jul 2026: Notification waiver determination published,,,,2026-07-13T17:38:03+10:00,2026-08-11T01:56:49.469233Z
Carlyle – CHN Group,Waiver,WA-95024,"Crystal Holdings Korea Co., Ltd.; SKID - 120111-0153602","Chung Ho Nais Co., Ltd.; SKID - 110111-1052482; MCM Co., Ltd.; SKID - 154311-0025062; Microfilter Co., Ltd.; SKID - 154311-0014099",Manufacturing; Wholesale Trade,The Carlyle Group Inc.,2026-06-11,Waiver application,Assessment completed,,,,12,9,Approved,2026-06-23,1912 Rigid and Semi-Rigid Polymer Product Manufacturing; 2449 Other Domestic Appliance Manufacturing; 2511 Wooden Furniture and Upholstered Seat Manufacturing; 2513 Mattress Manufacturing; 3332 Plumbing Goods Wholesaling; 3731 Furniture and Floor Covering Wholesaling; 3739 Other Goods Wholesaling n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/carlyle-%E2%80%93-chn-group,23 Jun 2026: Notification waiver determination published,,,,2026-06-23T18:52:27+10:00,2026-08-11T01:56:49.469233Z
Service Stream – RiE,Notification,MN-50022,SERVICE STREAM MAINTENANCE PTY LTD; 87 081 540 847,RIE GROUP PTY LTD; 30 612 894 970,Other Services,,2026-06-11,Phase 1 - initial assessment,Assessment completed,,,,,,Approved,,9422 Electronic (except Domestic Appliance) and Precision Equipment Repair and Maintenance; 9429 Other Machinery and Equipment Repair and Maintenance,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/service-stream-%E2%80%93-rie,3 Jul 2026: Service Stream - RiE Group - Phase 1 determination,,,,2026-07-03T11:57:58+10:00,2026-08-11T01:56:49.469233Z
EBOS - Paringa Pet Foods,Notification,MN-30020,Pet Care Distributors Pty Ltd; 58 125 265 769,Paringa Pet Foods Pty Ltd; 20 142 418 915,Food and Beverage Manufacturing; Wholesale Trade,EBOS Group Limited; 166 840 973,2026-06-11,Phase 1 - initial assessment,Assessment completed,,,,21,16,Approved,2026-07-02,1192 Prepared Animal and Bird Feed Manufacturing; 3739 Other Goods Wholesaling n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/ebos-paringa-pet-foods,2 Jul 2026: EBOS - Paringa Pet Foods - Phase 1 determination,,,,2026-07-02T16:41:07+10:00,2026-08-11T01:56:49.469233Z
Airtree – HotDoc,Waiver,WA-40028,"Airtree Ventures Opportunity Fund V Partnership, LP; 16 395 824 589",Aegleon Holdco Pty Ltd; 693 692 769; Airtree Ventures Opportunity Fund V Trusco Pty Ltd; 675 696 312,Technology and Software; Financial Advisory and Broking; Professional Services; Education and Training; Aged Care,HOTDOC ONLINE PTY LTD; 84 159 662 558,2026-06-11,Waiver application,Assessment completed,,,,19,14,Approved,2026-06-30,"5420 Software Publishing; 5921 Data Processing and Web Hosting Services; 6419 Other Auxiliary Finance and Investment Services; 7000 Computer System Design and Related Services; 8219 Adult, Community and Other Education n.e.c.; 8511 General Practice Medical Services; 8512 Specialist Medical Services; 8531 Dental Services; 8532 Optometry and Optical Dispensing; 8533 Physiotherapy Services; 8534 Chiropractic and Osteopathic Services; 8539 Other Allied Health Services",https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/airtree-%E2%80%93-hotdoc-0,30 Jun 2026: Notification waiver determination published,,,,2026-06-30T16:48:21+10:00,2026-08-11T01:56:49.469233Z
Gunvor Group – ZEN Energy Retail Holdings,Waiver,WA-15025,Gunvor Group Ltd; Cyprus registration number - HE 279934,ZEN ENERGY RETAIL HOLDINGS PTY LTD; 76 697 773 916,Energy and Utilities; Asset Management and Investment,ZEN ENERGY RETAIL PTY LTD; 54 615 751 052; ZEN ENERGY PTY LTD; 13 644 924 729,2026-06-10,Waiver application,Assessment completed,,,,14,11,Approved,2026-06-24,2640 On Selling Electricity and Electricity Market Operation; 6240 Financial Asset Investing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/gunvor-group-%E2%80%93-zen-energy-retail-holdings,24 Jun 2026: Notification waiver determination published,,,,2026-06-24T17:07:32+10:00,2026-08-11T01:56:49.469233Z
"Coles – supermarket site in Minto, NSW",Notification,MN-25029,COLES SUPERMARKETS AUSTRALIA PTY LTD; 45 004 189 708,MINTO MARKETPLACE PTY LTD; 45 157 762 000,Supermarkets and Grocery Retail,,2026-06-09,Phase 1 - initial assessment,Assessment completed,,,,,,Approved,,4110 Supermarket and Grocery Stores,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/coles-%E2%80%93-supermarket-site-in-minto-nsw,1 Jul 2026: Coles Minto - Phase 1 determination,,,,2026-07-01T17:52:03+10:00,2026-08-11T01:56:49.469233Z
Redwood Services Group – All IT Australia,Waiver,WA-15024,REDWOOD SERVICES GROUP AUSTRALIA PTY LTD; 15 675 368 162,ALL IT AUSTRALIA PTY LTD; 90 146 108 321; SPURBUCK INVESTMENTS PTY LTD; 16 602 869 910; R & D BRIGGS PTY LTD; 680 192 563; CALATT PTY LTD; 28 682 145 026; OBLIVIOUS PTY LTD; 23 676 977 754,Professional Services,"Evergreen Services Group Topco, LLC; EIN - 202252119595",2026-06-09,Waiver application,Assessment completed,,,,16,13,Approved,2026-06-25,7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/redwood-services-group-%E2%80%93-all-it-australia,25 Jun 2026: Notification waiver determination published,,,,2026-06-25T18:34:49+10:00,2026-08-11T01:56:49.469233Z
Redwood Services Group – Newtrend I.T. Specialists,Waiver,WA-60024,REDWOOD SERVICES GROUP AUSTRALIA PTY LTD; 15 675 368 162,NEWTREND I.T. SPECIALISTS PTY LTD; 54 124 502 656,Professional Services,"Evergreen Services Group Topco, LLC; EIN - 202252119595",2026-06-09,Waiver application,Assessment completed,,,,16,13,Approved,2026-06-25,7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/redwood-services-group-%E2%80%93-newtrend-it-specialists,25 Jun 2026: Notification waiver determination published,,,,2026-06-25T18:23:20+10:00,2026-08-11T01:56:49.469233Z
Mercer Investments (Australia) Limited– Stockland Residential Rental Partnership,Waiver,WA-05026,MERCER INVESTMENTS (AUSTRALIA) LIMITED; 66 008 612 397,One MEA Holdings Pte. Ltd; 201923882C; The Trustee for Stockland Residential Rental Partnership Trust; 55 773 008 463; The Trustee for SRRP Development Trust; 29 422 661 271,Asset Management and Investment; Property and Real Estate,The Trustee for AP#2 Trust; 87 187 242 840,2026-06-09,Waiver application,Assessment completed,,,,14,11,Approved,2026-06-23,6240 Financial Asset Investing; 6720 Real Estate Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/mercer-investments-australia-limited%E2%80%93-stockland-residential-rental-partnership,23 Jun 2026: Notification waiver determination published,,,,2026-06-23T18:54:09+10:00,2026-08-11T01:56:49.469233Z
Brookfield – World Freight Company,Waiver,WA-55025,Windrose Holdings III (DIFC) Limited; Registered Number - 12897; Windrose France Holdings SAS; Registered Number - 104439096,Caeli Software Ltd; Registered Number - 12558916; GB WFC France SAS (trading as “World Freight Company” or “WFC”); Registered Number - 809546 971; Glacis Acquisition S.à r.l.; B224034,Transport and Logistics,Brookfield Corporation; Registered Number - 1646037,2026-06-09,Waiver application,Assessment completed,,,,17,14,Approved,2026-06-26,5299 Other Transport Support Services n.e.c.,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/brookfield-%E2%80%93-world-freight-company,26 Jun 2026: Notification waiver determination published,,,,2026-06-26T17:20:11+10:00,2026-08-11T01:56:49.469233Z
Equans - CV Services Group,Notification,MN-05025,Equans SAS; Nanterre Trade and Companies Register - 892318312,CV Services Group Pty Ltd; 85 128 857 447,Manufacturing; Construction and Engineering,,2026-06-09,Phase 1 - initial assessment,Assessment completed,,,,27,20,Approved,2026-07-06,2599 Other Manufacturing n.e.c.; 3232 Electrical Services; 3233 Air Conditioning and Heating Services; 3234 Fire and Security Alarm Installation Services; 3239 Other Building Installation Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/equans-cv-services-group,6 Jul 2026: Equans - CV Services Group,,,,2026-07-06T15:46:57+10:00,2026-08-11T01:56:49.469233Z
Count – Oracle Group,Waiver,WA-45018,Count Holdings No. 4 Pty Ltd; 48 111 695 357; Count Holdings No. 3 Pty Ltd; 37 696 339 161; Count Holdings No. 1 Pty Ltd; 70 696 338 995,Tamarama Advisory Pty Ltd; 36 696 563 596; Tamarama Investment Management Pty Ltd; 25 696 539 625; Tamarama Accounting Pty Ltd; 17 696 552 922,Financial Advisory and Broking,,2026-06-09,Waiver application,Assessment completed,,,,22,17,Approved,2026-07-01,6419 Other Auxiliary Finance and Investment Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/count-%E2%80%93-oracle-group,1 Jul 2026: Notification waiver determination published,,,,2026-07-01T18:21:42+10:00,2026-08-11T01:56:49.469233Z
EY Australia - Australian EY Fusion business,Waiver,WA-90021,ERNST & YOUNG; 75 288 172 749,EY BUSINESS SOLUTIONS PTY LTD; 35 122 885 465; EY IDENTITY PTY LTD; 64 007 086 348,Professional Services,AP Fusion LP Limited Partnership,2026-06-09,Waiver application,Assessment completed,,,,24,19,Approved,2026-07-03,6962 Management Advice and Related Consulting Services; 7000 Computer System Design and Related Services,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/ey-australia-australian-ey-fusion-business,3 Jul 2026: Notification waiver determination published,,,,2026-07-03T17:04:24+10:00,2026-08-11T01:56:49.469233Z
Freedom Fuels – Rennic,Waiver,WA-85034,FREEDOM FUELS AUSTRALIA PTY LTD; 49 093 244 761,Rennic Pty Ltd; 28 124 280 173,Fuel Retail,TRINITY PETROLEUM SERVICES PTY. LTD.; 52 010 708 102; Idemitsu Kosan Co. Ltd,2026-06-08,Waiver application,Assessment completed,,,,25,19,Approved,2026-07-03,4000 Fuel Retailing,https://www.accc.gov.au/public-registers/mergers-and-acquisitions-registers/acquisitions-register/freedom-fuels-%E2%80%93-rennic,3 Jul 2026: Notification waiver determination published,,,,2026-07-03T16:50:25+10:00,2026-08-11T01:56:49.469233Z
